study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA301892	SAMN04260201	SRS1163571	SRX1432519	SRR2917279	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917279	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917279		
PRJNA301892	SAMN04260202	SRS1163570	SRX1432520	SRR2917280	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917280	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917280		
PRJNA301892	SAMN04260203	SRS1163569	SRX1432521	SRR2917281	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917281	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917281		
PRJNA301892	SAMN04260204	SRS1163568	SRX1432522	SRR2917282	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/002/SRR2917282	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/002/SRR2917282		
PRJNA301892	SAMN04260205	SRS1163567	SRX1432523	SRR2917283	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/003/SRR2917283	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/003/SRR2917283		
PRJNA301892	SAMN04260206	SRS1163566	SRX1432524	SRR2917284	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/004/SRR2917284	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/004/SRR2917284		
PRJNA301892	SAMN04260207	SRS1163565	SRX1432525	SRR2917285	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/005/SRR2917285	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/005/SRR2917285		
PRJNA301892	SAMN04260208	SRS1163564	SRX1432526	SRR2917286	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/006/SRR2917286	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/006/SRR2917286		
PRJNA301892	SAMN04260209	SRS1163563	SRX1432527	SRR2917287	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2917287	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2917287		
PRJNA301892	SAMN04260210	SRS1163562	SRX1432528	SRR2917288	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/008/SRR2917288	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/008/SRR2917288		
PRJNA301892	SAMN04260211	SRS1163561	SRX1432529	SRR2917289	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917289	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917289		
PRJNA301892	SAMN04260212	SRS1163560	SRX1432530	SRR2917290	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917290	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917290		
PRJNA301892	SAMN04260213	SRS1163559	SRX1432531	SRR2917291	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917291	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917291		
